minute,strokes
1462988700, 146
1462988820, 293
1462988940, 197
1462989060, 104
1462989180, 78
1462989300, 8
1462989960, 33
1462990140, 2
1462990500, 35
1462996260, 26
1462996380, 235
1462996500, 624
1462996620, 603
1462996740, 433
1462996860, 240
1462996980, 468
1462997340, 434
1462997460, 98
1462997580, 368
1462997700, 243
1462997880, 23
1462998000, 162
1462998120, 306
1462998240, 337
1462998360, 436
1462998480, 550
1462998600, 583
1462998720, 326
1462998840, 458
1462998960, 434
1462999080, 121
1462999200, 93
1462999320, 43
1462999620, 70
1462999740, 19
1462999860, 25
1463000460, 119
1463000760, 61
1463000940, 35
1463001060, 96
1463001180, 31
1463001540, 130
1463002440, 55
1463003520, 17
1463004120, 96
1463005080, 26
1463009040, 1
1463010060, 9
1463011380, 4
1463011500, 156
1463011800, 198
1463012100, 16
1463012880, 4
1463022720, 12
1463022840, 20
1463026920, 16
1463027040, 53
1463027400, 5
1463027880, 8
1463076180, 13
1463076360, 108
1463077620, 161
1463077740, 75
1463077860, 179
1463078160, 205
1463078340, 16
1463078460, 28
1463078580, 113
1463078820, 105
1463078940, 90
1463079300, 48
1463079420, 131
1463079540, 395
1463079660, 561
1463079780, 255
1463079900, 76
1463080020, 373
1463080680, 39
1463081100, 60
1463081220, 178
1463081340, 28
1463081460, 28
1463082480, 22
1463082600, 150
1463088120, 176
1463088300, 30
1463088420, 4
1463088540, 52
1463088720, 482
1463088840, 25
1463088960, 4
1463089080, 16
1463089260, 55
1463089800, 4
1463090460, 4
1463090820, 338
1463091000, 389
1463091780, 5
1463091960, 155
1463093760, 36
1463093880, 148
1463094060, 4
1463094300, 5
1463094720, 2
1463094900, 10
1463095020, 75
1463095140, 26
1463095320, 13
1463095500, 72
1463095620, 33
1463095740, 70
1463095860, 201
1463095980, 41
1463096160, 109
1463096280, 72
1463096880, 8
1463099460, 91
1463099580, 185
1463099700, 113
1463099820, 25
1463100000, 14
1463100120, 3
1463100240, 5
1463100660, 126
1463100900, 28
1463101020, 27
1463101200, 65
1463127600, 1
1463127840, 13
1463128080, 70
1463128200, 1
1463158020, 8
1463158140, 27
1463158260, 443
1463158620, 3
1463158740, 174
1463158860, 415
1463158980, 475
1463159100, 412
1463159220, 506
1463159460, 391
1463159580, 275
1463159700, 187
1463159820, 533
1463159940, 360
1463160060, 370
1463160180, 177
1463160300, 288
1463160420, 109
1463160540, 291
1463160660, 201
1463160780, 176
1463160900, 55
1463162580, 32
1463162940, 43
1463163600, 2
1463163720, 185
1463163900, 62
1463164080, 84
1463165760, 358
1463166180, 60
1463166300, 146
1463166660, 16
1463166840, 3
1463166960, 502
1463167080, 230
1463170440, 7
1463170680, 122
1463170920, 70
1463171040, 4
1463171400, 14
1463171520, 147
1463171640, 92
1463171760, 181
1463171940, 82
1463172120, 32
1463172360, 18
1463172720, 15
1463172840, 13
1463173380, 14
1463173500, 18
1463173620, 51
1463173740, 274
1463173860, 89
1463173980, 24
1463174100, 174
1463175000, 93
1463175240, 41
1463178000, 21
1463178120, 118
1463178240, 272
1463178720, 75
1463178840, 163
1463179020, 258
1463180220, 70
1463237640, 192
1463238720, 9
1463238840, 22
1463239920, 44
1463241480, 38
1463243760, 34
1463300220, 34
1463300400, 16
1463300520, 49
1463300640, 22
1463300760, 51
1463300880, 14
1463301060, 311
1463301240, 51
1463301600, 57
1463301720, 132
1463301840, 278
1463301960, 10
1463302080, 67
1463302320, 4
1463302440, 15
1463302560, 245
1463302680, 142
1463302800, 314
1463302920, 29
1463303100, 1
1463303220, 57
1463303340, 97
1463303460, 320
1463303580, 147
1463303760, 132
1463303880, 90
1463304000, 62
1463304120, 146
1463304240, 40
1463304360, 182
1463304480, 62
1463304600, 179
1463304720, 108
1463304840, 167
1463305020, 223
1463305140, 112
1463305260, 36
1463305380, 117
1463305500, 170
1463305800, 130
1463334000, 14
1463334120, 61
1463412540, 60
1463417400, 5
1463417520, 50
1463417700, 3
1463417820, 261
1463417940, 418
1463418060, 410
1463418180, 209
1463418300, 10
1463418600, 4
1463418720, 1
1463418840, 130
1463419020, 4
1463419140, 67
1463419260, 60
1463419380, 58
1463419500, 428
1463419620, 208
1463419740, 401
1463420880, 125
1463421240, 27
1463421420, 5
1463423700, 96
1463423820, 18
1463425200, 27
1463429700, 7
1463430060, 42
1463430240, 9
1463431200, 36
1463433060, 2
1463433360, 15
1463433480, 197
1463433600, 127
1463433720, 362
1463433840, 261
1463434140, 182
1463435760, 29
